"filename", "language", "XML", "Java Properties", "Java", "Docker", "Batch", "comment", "blank", "total"
"c:\Users\Dasika Sarath\Desktop\sheprenure\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Dasika Sarath\Desktop\sheprenure\Dockerfile", "Docker", 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Dasika Sarath\Desktop\sheprenure\mvnw.cmd", "Batch", 0, 0, 0, 0, 139, 26, 25, 190
"c:\Users\Dasika Sarath\Desktop\sheprenure\pom.xml", "XML", 125, 0, 0, 0, 0, 3, 26, 154
"c:\Users\Dasika Sarath\Desktop\sheprenure\src\main\java\ec\example\sheprenure\Entity\Blocklist.java", "Java", 0, 0, 16, 0, 0, 0, 8, 24
"c:\Users\Dasika Sarath\Desktop\sheprenure\src\main\java\ec\example\sheprenure\Entity\Cart.java", "Java", 0, 0, 18, 0, 0, 2, 9, 29
"c:\Users\Dasika Sarath\Desktop\sheprenure\src\main\java\ec\example\sheprenure\Entity\CartItem.java", "Java", 0, 0, 23, 0, 0, 0, 8, 31
"c:\Users\Dasika Sarath\Desktop\sheprenure\src\main\java\ec\example\sheprenure\Entity\Forgotpassword.java", "Java", 0, 0, 19, 0, 0, 0, 6, 25
"c:\Users\Dasika Sarath\Desktop\sheprenure\src\main\java\ec\example\sheprenure\Entity\OrderItemList.java", "Java", 0, 0, 21, 0, 0, 22, 8, 51
"c:\Users\Dasika Sarath\Desktop\sheprenure\src\main\java\ec\example\sheprenure\Entity\OrderList.java", "Java", 0, 0, 68, 0, 0, 0, 11, 79
"c:\Users\Dasika Sarath\Desktop\sheprenure\src\main\java\ec\example\sheprenure\Entity\ProductEntity.java", "Java", 0, 0, 36, 0, 0, 2, 20, 58
"c:\Users\Dasika Sarath\Desktop\sheprenure\src\main\java\ec\example\sheprenure\Entity\UserEntity.java", "Java", 0, 0, 25, 0, 0, 25, 8, 58
"c:\Users\Dasika Sarath\Desktop\sheprenure\src\main\java\ec\example\sheprenure\Repository\BlocklistRepository.java", "Java", 0, 0, 6, 0, 0, 0, 4, 10
"c:\Users\Dasika Sarath\Desktop\sheprenure\src\main\java\ec\example\sheprenure\Repository\CartItemRepository.java", "Java", 0, 0, 10, 0, 0, 0, 7, 17
"c:\Users\Dasika Sarath\Desktop\sheprenure\src\main\java\ec\example\sheprenure\Repository\CartRepository.java", "Java", 0, 0, 8, 0, 0, 0, 6, 14
"c:\Users\Dasika Sarath\Desktop\sheprenure\src\main\java\ec\example\sheprenure\Repository\Forgotmailrepo.java", "Java", 0, 0, 9, 0, 0, 0, 4, 13
"c:\Users\Dasika Sarath\Desktop\sheprenure\src\main\java\ec\example\sheprenure\Repository\OrderItemListRepository.java", "Java", 0, 0, 7, 0, 0, 0, 3, 10
"c:\Users\Dasika Sarath\Desktop\sheprenure\src\main\java\ec\example\sheprenure\Repository\OrderListRepository.java", "Java", 0, 0, 8, 0, 0, 0, 4, 12
"c:\Users\Dasika Sarath\Desktop\sheprenure\src\main\java\ec\example\sheprenure\Repository\ProductRepository.java", "Java", 0, 0, 8, 0, 0, 0, 5, 13
"c:\Users\Dasika Sarath\Desktop\sheprenure\src\main\java\ec\example\sheprenure\Repository\UserRepository.java", "Java", 0, 0, 7, 0, 0, 0, 7, 14
"c:\Users\Dasika Sarath\Desktop\sheprenure\src\main\java\ec\example\sheprenure\Security.java", "Java", 0, 0, 24, 0, 0, 0, 10, 34
"c:\Users\Dasika Sarath\Desktop\sheprenure\src\main\java\ec\example\sheprenure\Services\CartItemService.java", "Java", 0, 0, 23, 0, 0, 0, 5, 28
"c:\Users\Dasika Sarath\Desktop\sheprenure\src\main\java\ec\example\sheprenure\Services\CartService.java", "Java", 0, 0, 155, 0, 0, 4, 78, 237
"c:\Users\Dasika Sarath\Desktop\sheprenure\src\main\java\ec\example\sheprenure\Services\CloudService.java", "Java", 0, 0, 25, 0, 0, 0, 20, 45
"c:\Users\Dasika Sarath\Desktop\sheprenure\src\main\java\ec\example\sheprenure\Services\Forgotservice.java", "Java", 0, 0, 92, 0, 0, 0, 23, 115
"c:\Users\Dasika Sarath\Desktop\sheprenure\src\main\java\ec\example\sheprenure\Services\OrderListService.java", "Java", 0, 0, 21, 0, 0, 0, 15, 36
"c:\Users\Dasika Sarath\Desktop\sheprenure\src\main\java\ec\example\sheprenure\Services\OrderService.java", "Java", 0, 0, 82, 0, 0, 0, 42, 124
